,BeginDate,EndDate,Type,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,gender,SeniorCitizen,Partner,Dependents,MultipleLines,TenureMonths,ChargeGroup
15,2014-05-01,,Two year,No,Credit card (automatic),113.25,7895.15,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,Yes,70,Very High
16,2015-10-01,,One year,No,Mailed check,20.65,1022.95,0,No,No,No,No,No,No,No,Female,0,No,No,No,53,Low
17,2014-03-01,,Two year,No,Bank transfer (automatic),106.7,7382.25,0,Fiber optic,Yes,No,Yes,No,Yes,Yes,Male,0,No,Yes,Yes,72,Very High
18,2019-01-01,2019-11-01,Month-to-month,No,Credit card (automatic),55.2,528.35,1,DSL,No,No,Yes,Yes,No,No,Female,0,Yes,Yes,No,10,Medium
19,2018-05-01,,Month-to-month,Yes,Electronic check,90.05,1862.9,0,Fiber optic,No,Yes,Yes,No,No,Yes,Female,0,No,No,No,21,High
20,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,39.65,39.65,1,DSL,No,No,Yes,No,No,Yes,Male,1,No,No,Unknown,1,Low
21,2019-02-01,,One year,No,Bank transfer (automatic),19.8,202.25,0,No,No,No,No,No,No,No,Male,0,Yes,No,No,12,Low
22,2019-11-01,2019-12-01,Month-to-month,No,Mailed check,20.15,20.15,1,No,No,No,No,No,No,No,Male,0,No,No,No,1,Low
23,2015-04-01,,Two year,Yes,Credit card (automatic),59.9,3505.1,0,DSL,No,Yes,No,Yes,No,No,Female,0,Yes,No,Yes,59,Medium
24,2016-01-01,,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,DSL,Yes,Yes,No,Yes,No,No,Male,0,Yes,Yes,No,50,Medium
25,2017-08-01,,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,DSL,Yes,Yes,No,No,No,No,Female,0,No,No,No,30,Medium
26,2015-12-01,2019-11-01,Month-to-month,Yes,Electronic check,99.35,4749.15,1,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,Yes,Yes,Yes,48,Very High
27,2019-11-01,2019-12-01,Month-to-month,No,Electronic check,30.2,30.2,1,DSL,No,Yes,No,No,No,No,Male,0,Yes,Yes,Unknown,1,Low
28,2014-02-01,,Two year,Yes,Credit card (automatic),90.25,6369.45,0,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,73,High
29,2018-06-01,2019-11-01,Month-to-month,Yes,Mailed check,64.7,1093.1,1,DSL,No,No,No,No,Yes,Yes,Female,0,No,Yes,No,17,Medium
30,2014-03-01,,Two year,Yes,Credit card (automatic),96.35,6766.95,0,Fiber optic,Yes,Yes,Yes,Yes,No,No,Female,1,Yes,No,Yes,72,Very High
31,2019-12-01,,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,Fiber optic,No,No,Yes,No,Yes,Yes,Male,1,Yes,No,No,2,Very High
32,2017-11-01,,One year,No,Mailed check,66.15,1874.45,0,DSL,Yes,Yes,Yes,Yes,No,No,Female,0,Yes,Yes,No,27,Medium
33,2020-01-01,,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,No,No,No,No,No,No,No,Male,0,No,No,No,1,Low
34,2020-01-01,,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,DSL,No,No,No,No,No,No,Male,1,No,No,No,1,Medium
35,2014-02-01,,Two year,No,Bank transfer (automatic),99.9,7251.7,0,Fiber optic,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,Yes,Yes,73,Very High
36,2019-06-01,2019-11-01,Month-to-month,Yes,Electronic check,69.7,316.9,1,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,5,High
37,2016-04-01,,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,Fiber optic,No,No,Yes,No,No,No,Female,0,No,No,No,47,High
38,2017-02-01,2019-12-01,Month-to-month,Yes,Electronic check,106.35,3549.25,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,34,Very High
39,2018-12-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,Yes,11,Very High
40,2019-04-01,,One year,No,Mailed check,49.55,475.7,0,DSL,No,Yes,No,No,No,No,Male,0,Yes,Yes,No,10,Medium
41,2014-04-01,,Two year,Yes,Credit card (automatic),69.2,4872.35,0,DSL,Yes,Yes,No,No,Yes,No,Female,0,Yes,Yes,Yes,71,High
42,2018-09-01,,One year,No,Mailed check,20.75,418.25,0,No,No,No,No,No,No,No,Female,0,Yes,Yes,No,17,Low
43,2014-11-01,,Two year,Yes,Credit card (automatic),79.85,4861.45,0,DSL,Yes,Yes,Yes,Yes,Yes,No,Female,0,No,No,Yes,64,High
44,2019-01-01,,Month-to-month,Yes,Electronic check,76.2,981.45,0,DSL,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,No,Yes,13,High
45,2016-01-01,,Month-to-month,Yes,Electronic check,84.5,3906.7,0,Fiber optic,No,No,No,No,No,Yes,Female,0,No,No,Yes,50,High
46,2019-12-01,,Month-to-month,No,Mailed check,49.25,97.0,0,DSL,No,Yes,No,No,No,No,Male,0,No,No,No,2,Medium
47,2019-11-01,2020-01-01,Month-to-month,Yes,Electronic check,80.65,144.15,1,Fiber optic,No,No,No,No,Yes,No,Female,0,No,No,No,2,High
48,2015-10-01,,Two year,Yes,Credit card (automatic),79.75,4217.8,0,DSL,Yes,No,No,Yes,Yes,Yes,Male,0,No,No,Yes,53,High
49,2014-05-01,,Two year,Yes,Credit card (automatic),64.15,4254.1,0,DSL,Yes,No,Yes,Yes,No,No,Female,0,Yes,Yes,Yes,70,Medium
50,2016-07-01,,Month-to-month,Yes,Electronic check,90.25,3838.75,0,Fiber optic,No,Yes,No,No,Yes,No,Female,1,No,No,Yes,44,High
51,2018-09-01,2019-12-01,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,Fiber optic,Yes,Yes,No,No,Yes,Yes,Female,0,No,No,No,15,Very High
52,2018-01-01,,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,DSL,Yes,No,No,Yes,Yes,No,Female,1,Yes,No,Yes,25,High
53,2019-03-01,2019-11-01,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,Fiber optic,No,Yes,No,No,No,No,Female,1,Yes,No,Yes,8,High
54,2015-02-01,,One year,Yes,Credit card (automatic),74.85,4456.35,0,DSL,Yes,Yes,Yes,Yes,No,Yes,Female,1,Yes,Yes,No,61,High
55,2018-07-01,2020-01-01,Month-to-month,Yes,Electronic check,95.45,1752.55,1,Fiber optic,No,No,No,No,Yes,Yes,Male,1,No,No,Yes,18,Very High
56,2014-11-01,,One year,Yes,Credit card (automatic),99.65,6311.2,0,Fiber optic,Yes,No,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,64,Very High
57,2014-08-01,,One year,Yes,Electronic check,108.45,7076.35,0,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,1,Yes,Yes,Yes,67,Very High
58,2017-04-01,,Two year,No,Credit card (automatic),24.95,894.3,0,No,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,35,Low
59,2014-02-01,,Two year,Yes,Credit card (automatic),107.5,7853.7,0,Fiber optic,No,No,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,73,Very High
60,2016-03-01,,Month-to-month,Yes,Electronic check,100.5,4707.1,0,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,No,Yes,48,Very High
61,2015-02-01,,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,Fiber optic,No,Yes,No,No,Yes,No,Male,0,No,No,Yes,61,High
62,2014-02-01,,Two year,No,Bank transfer (automatic),42.1,2962.0,0,DSL,Yes,Yes,Yes,No,No,No,Male,0,Yes,No,Unknown,73,Low
63,2018-08-01,,One year,Yes,Credit card (automatic),54.4,957.1,0,DSL,No,No,Yes,Yes,No,No,Female,0,Yes,Yes,No,18,Medium
64,2019-04-01,2020-01-01,Month-to-month,No,Electronic check,94.4,857.25,1,Fiber optic,No,No,No,No,Yes,Yes,Female,0,No,No,Yes,9,Very High
65,2019-11-01,,Month-to-month,Yes,Electronic check,75.3,244.1,0,DSL,No,Yes,No,Yes,Yes,Yes,Female,0,No,No,No,3,High
66,2016-03-01,,One year,Yes,Electronic check,78.9,3650.35,0,Fiber optic,No,Yes,No,No,No,No,Male,0,Yes,No,Yes,48,High
67,2017-07-01,,Two year,No,Mailed check,79.2,2497.2,0,DSL,No,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,No,32,High
68,2015-12-01,,Two year,No,Bank transfer (automatic),20.15,930.9,0,No,No,No,No,No,No,No,Female,0,Yes,Yes,No,51,Low
69,2019-04-01,,Month-to-month,Yes,Mailed check,79.85,887.35,0,Fiber optic,Yes,No,Yes,No,No,No,Male,0,No,No,No,10,High
70,2020-01-01,,Month-to-month,No,Mailed check,49.05,49.05,0,DSL,No,No,No,Yes,No,No,Male,0,No,No,No,1,Medium
71,2015-10-01,,One year,Yes,Electronic check,20.4,1090.65,0,No,No,No,No,No,No,No,Female,0,Yes,Yes,No,53,Low
72,2014-10-01,,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Male,1,Yes,Yes,Yes,65,Very High
73,2014-12-01,,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,No,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,63,Low
74,2019-11-01,,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,DSL,Yes,No,No,Yes,No,Yes,Female,0,No,Yes,No,3,Medium
75,2015-06-01,,One year,No,Electronic check,110.5,6139.5,0,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,1,No,No,Yes,57,Very High
76,2016-04-01,,One year,No,Credit card (automatic),55.65,2688.85,0,DSL,No,No,No,No,No,Yes,Female,0,No,No,No,47,Medium
77,2019-06-01,,Month-to-month,No,Mailed check,54.65,482.25,0,DSL,Yes,Yes,No,No,No,No,Female,0,Yes,Yes,No,8,Medium
78,2017-08-01,,Month-to-month,Yes,Electronic check,74.75,2111.3,0,DSL,Yes,Yes,No,No,Yes,Yes,Male,1,No,No,No,30,High
79,2016-05-01,,One year,Yes,Credit card (automatic),25.9,1216.6,0,No,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,46,Low
80,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,79.35,79.35,1,Fiber optic,No,No,No,No,Yes,No,Female,0,No,Yes,No,1,High
81,2019-03-01,,Month-to-month,No,Electronic check,50.55,565.35,0,DSL,Yes,No,No,No,Yes,Yes,Female,0,Yes,Yes,Unknown,11,Medium
82,2019-03-01,2019-10-01,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,Fiber optic,No,No,Yes,No,No,No,Female,0,Yes,No,No,7,High
83,2016-08-01,,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,No,43,Very High
84,2016-01-01,,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,No,No,No,No,No,No,No,Female,0,Yes,No,No,50,Low
85,2019-05-01,,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,No,No,Yes,9,Very High
86,2017-03-01,,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,DSL,Yes,No,No,No,Yes,No,Female,0,Yes,No,No,36,Medium
87,2016-02-01,,Two year,No,Bank transfer (automatic),20.65,1057.0,0,No,No,No,No,No,No,No,Female,0,Yes,Yes,No,49,Low
88,2016-04-01,,Two year,Yes,Mailed check,19.95,927.1,0,No,No,No,No,No,No,No,Female,0,Yes,Yes,No,47,Low
89,2017-09-01,,Month-to-month,No,Mailed check,33.75,1009.25,0,DSL,No,No,No,No,Yes,No,Male,0,Yes,No,Unknown,29,Low
90,2017-08-01,,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,Fiber optic,No,Yes,Yes,No,No,No,Male,0,Yes,Yes,No,30,High
91,2020-01-01,,Month-to-month,No,Electronic check,74.7,74.7,0,Fiber optic,No,No,No,Yes,No,No,Male,1,No,No,No,1,High
92,2014-08-01,,Two year,Yes,Mailed check,84.0,5714.25,0,DSL,Yes,No,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,67,High
93,2014-09-01,,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,0,No,No,Yes,66,Very High
94,2014-02-01,,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,73,Very High
95,2018-12-01,2019-12-01,Month-to-month,Yes,Electronic check,78.95,927.35,1,Fiber optic,Yes,No,No,No,No,No,Female,0,No,No,Yes,12,High
96,2014-03-01,,One year,Yes,Credit card (automatic),66.85,4748.7,0,DSL,Yes,Yes,No,Yes,No,No,Male,0,Yes,Yes,Yes,72,Medium
97,2019-06-01,2019-11-01,Month-to-month,No,Mailed check,21.05,113.85,1,No,No,No,No,No,No,No,Male,0,No,No,No,5,Low
98,2015-10-01,,Two year,No,Bank transfer (automatic),21.0,1107.2,0,No,No,No,No,No,No,No,Male,0,No,No,No,53,Low
99,2017-12-01,2020-01-01,Month-to-month,Yes,Electronic check,98.5,2514.5,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,1,Yes,No,No,25,Very High
100,2020-01-01,,Month-to-month,No,Mailed check,20.2,20.2,0,No,No,No,No,No,No,No,Male,0,No,No,No,1,Low
101,2020-01-01,,Month-to-month,No,Electronic check,19.45,19.45,0,No,No,No,No,No,No,No,Female,0,Yes,Yes,No,1,Low
102,2016-12-01,,One year,No,Bank transfer (automatic),95.0,3605.6,0,Fiber optic,No,No,Yes,Yes,Yes,No,Male,0,No,No,Yes,39,Very High
103,2014-08-01,,One year,No,Bank transfer (automatic),45.55,3027.25,0,DSL,No,Yes,Yes,No,Yes,No,Female,1,Yes,No,Unknown,67,Medium
104,2014-03-01,2019-11-01,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,69,Very High
105,2019-09-01,,Month-to-month,No,Mailed check,24.3,100.2,0,DSL,No,No,No,No,No,No,Male,0,No,No,Unknown,5,Low
106,2014-02-01,,One year,Yes,Electronic check,104.15,7303.05,0,Fiber optic,Yes,Yes,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,73,Very High
107,2017-06-01,,One year,No,Mailed check,30.15,927.65,0,DSL,Yes,No,No,No,No,No,Female,0,No,No,Unknown,32,Low
108,2016-07-01,,One year,No,Mailed check,94.35,3921.3,0,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,44,Very High
109,2014-02-01,,Two year,No,Credit card (automatic),19.4,1363.25,0,No,No,No,No,No,No,No,Male,0,Yes,Yes,No,73,Low
110,2015-05-01,2019-12-01,Month-to-month,Yes,Electronic check,96.75,5238.9,1,Fiber optic,Yes,Yes,No,No,Yes,No,Male,0,Yes,No,Yes,56,Very High
111,2015-10-01,,One year,No,Credit card (automatic),57.95,3042.25,0,DSL,Yes,No,Yes,Yes,No,No,Female,0,No,No,No,53,Medium
112,2016-07-01,,Month-to-month,Yes,Electronic check,91.65,3954.1,0,Fiber optic,No,Yes,Yes,No,Yes,No,Female,0,No,No,No,44,High
113,2016-10-01,2019-11-01,Month-to-month,Yes,Electronic check,76.5,2868.15,1,Fiber optic,No,No,No,No,No,No,Female,1,Yes,No,Yes,38,High
114,2014-10-01,,Two year,Yes,Electronic check,54.6,3423.5,0,DSL,No,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,Unknown,65,Medium
115,2019-11-01,,Month-to-month,No,Electronic check,89.85,248.4,0,Fiber optic,Yes,Yes,No,No,Yes,No,Male,0,Yes,Yes,No,3,High
116,2017-02-01,,Two year,No,Bank transfer (automatic),31.05,1126.35,0,DSL,Yes,No,No,No,No,No,Female,0,No,No,Unknown,36,Low
117,2019-02-01,2019-12-01,Month-to-month,Yes,Electronic check,100.25,1064.65,1,Fiber optic,Yes,No,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,10,Very High
118,2016-09-01,,Two year,No,Mailed check,20.65,835.15,0,No,No,No,No,No,No,No,Female,0,No,No,No,42,Low
119,2017-11-01,,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,0,Fiber optic,No,Yes,No,Yes,No,No,Male,0,Yes,Yes,Yes,27,High
120,2015-06-01,,One year,Yes,Credit card (automatic),99.8,5515.45,0,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,Yes,Yes,57,Very High
121,2019-08-01,,Month-to-month,No,Mailed check,20.7,112.75,0,No,No,No,No,No,No,No,Female,0,No,No,No,6,Low
122,2019-09-01,2019-12-01,Month-to-month,Yes,Electronic check,74.4,229.55,1,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,3,High
123,2019-07-01,,Month-to-month,No,Mailed check,50.7,350.35,0,DSL,Yes,No,No,No,No,No,Female,0,Yes,Yes,No,7,Medium
124,2019-10-01,,Month-to-month,No,Mailed check,20.85,62.9,0,No,No,No,No,No,No,No,Female,0,Yes,Yes,No,4,Low
125,2017-05-01,,Two year,Yes,Electronic check,88.95,3027.65,0,Fiber optic,Yes,No,No,Yes,Yes,No,Male,0,No,No,No,34,High
126,2017-10-01,2020-01-01,Month-to-month,Yes,Electronic check,78.05,2135.5,1,Fiber optic,No,No,Yes,No,No,No,Female,1,No,No,Yes,27,High
127,2014-02-01,,Two year,Yes,Bank transfer (automatic),23.55,1723.95,0,No,No,No,No,No,No,No,Male,0,Yes,No,Yes,73,Low
128,2020-01-01,,Month-to-month,No,Mailed check,19.75,19.75,0,No,No,No,No,No,No,No,Male,0,No,No,No,1,Low
129,2014-03-01,,One year,Yes,Electronic check,56.45,3985.35,0,DSL,Yes,Yes,No,No,Yes,Yes,Male,1,No,No,Unknown,72,Medium
130,2019-01-01,,Month-to-month,Yes,Electronic check,85.95,1215.65,0,Fiber optic,No,No,No,No,No,Yes,Female,0,No,No,Yes,13,High
131,2017-12-01,2020-01-01,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,1,DSL,Yes,Yes,Yes,No,Yes,Yes,Female,0,Yes,Yes,Unknown,25,Medium
132,2014-07-01,,Two year,No,Bank transfer (automatic),50.55,3260.1,0,DSL,No,No,No,Yes,No,No,Male,0,No,No,No,68,Medium
133,2019-12-01,2020-01-01,Month-to-month,Yes,Electronic check,35.45,35.45,1,DSL,No,No,No,No,No,Yes,Male,0,No,No,Unknown,1,Low
134,2019-11-01,2020-01-01,Month-to-month,No,Electronic check,44.35,81.25,1,DSL,No,No,No,No,No,No,Male,0,No,No,No,2,Medium
135,2016-07-01,,Two year,Yes,Credit card (automatic),25.7,1188.2,0,No,No,No,No,No,No,No,Female,0,No,No,Yes,44,Low
136,2018-03-01,,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,0,Fiber optic,Yes,No,No,No,No,No,Female,0,No,No,No,23,High
137,2014-10-01,,Two year,No,Mailed check,20.2,1277.75,0,No,No,No,No,No,No,No,Female,0,Yes,Yes,No,65,Low
138,2015-05-01,,Two year,Yes,Mailed check,19.6,1170.55,0,No,No,No,No,No,No,No,Male,0,No,Yes,No,58,Low
139,2019-10-01,2019-11-01,Month-to-month,Yes,Mailed check,70.45,70.45,1,Fiber optic,No,No,No,No,No,No,Female,1,Yes,No,No,1,High
140,2014-02-01,,Two year,Yes,Credit card (automatic),88.05,6425.65,0,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,1,Yes,Yes,Yes,73,High
141,2019-02-01,2019-10-01,Month-to-month,No,Electronic check,71.15,563.65,1,DSL,Yes,No,No,Yes,No,Yes,Female,0,No,No,Yes,8,High
142,2015-01-01,,Two year,Yes,Bank transfer (automatic),101.05,5971.25,0,Fiber optic,No,Yes,No,No,Yes,Yes,Female,0,Yes,No,Yes,62,Very High
143,2014-10-01,,One year,Yes,Credit card (automatic),84.3,5289.05,0,Fiber optic,Yes,Yes,No,No,No,No,Male,0,No,No,Yes,65,High
144,2014-03-01,,Two year,No,Bank transfer (automatic),23.95,1756.2,0,No,No,No,No,No,No,No,Male,1,Yes,No,Yes,72,Low
145,2014-09-01,,Two year,Yes,Credit card (automatic),99.05,6416.7,0,Fiber optic,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,Yes,Yes,66,Very High
146,2019-11-01,,One year,No,Mailed check,19.6,61.35,0,No,No,No,No,No,No,No,Male,0,No,No,No,3,Low
147,2019-12-01,2020-01-01,Month-to-month,Yes,Electronic check,45.65,45.65,1,DSL,No,No,No,No,No,No,Male,0,No,No,No,1,Medium
148,2017-08-01,,One year,No,Credit card (automatic),64.5,1929.95,0,DSL,No,Yes,Yes,No,Yes,No,Male,0,No,Yes,No,30,Medium
149,2018-11-01,,Month-to-month,Yes,Mailed check,69.5,1071.4,0,DSL,No,Yes,Yes,Yes,No,Yes,Male,0,Yes,Yes,No,15,High
150,2019-06-01,,Month-to-month,Yes,Electronic check,68.55,564.35,0,DSL,No,No,No,Yes,Yes,Yes,Female,0,Yes,Yes,No,8,High
151,2019-06-01,2020-01-01,Month-to-month,No,Mailed check,95.0,655.5,1,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,7,Very High
152,2014-04-01,,One year,Yes,Credit card (automatic),108.15,7930.55,0,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,0,Yes,Yes,Yes,71,Very High
153,2014-12-01,,Two year,No,Electronic check,86.1,5215.25,0,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,No,63,High
154,2019-08-01,,Month-to-month,No,Mailed check,19.7,113.5,0,No,No,No,No,No,No,No,Female,0,Yes,Yes,No,6,Low
155,2018-12-01,,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,0,Fiber optic,No,No,No,No,No,Yes,Female,0,Yes,Yes,No,14,High
156,2018-04-01,,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,0,Fiber optic,No,No,No,No,Yes,No,Female,0,No,No,Yes,22,High
157,2018-04-01,,One year,No,Mailed check,20.15,419.9,0,No,No,No,No,No,No,No,Male,0,Yes,Yes,No,22,Low
158,2018-10-01,,Two year,No,Mailed check,64.25,1024.0,0,DSL,Yes,No,Yes,No,Yes,No,Male,0,Yes,Yes,No,16,Medium
159,2019-04-01,,Two year,No,Bank transfer (automatic),25.7,251.6,0,No,No,No,No,No,No,No,Male,0,No,No,Yes,10,Low
160,2019-01-01,,Month-to-month,Yes,Electronic check,56.0,764.55,0,DSL,Yes,Yes,No,No,No,No,Female,0,No,Yes,No,13,Medium
161,2018-03-01,2019-11-01,Month-to-month,No,Electronic check,82.4,1592.35,1,Fiber optic,Yes,No,No,No,No,No,Female,0,Yes,No,Yes,20,High
162,2019-12-01,,Month-to-month,Yes,Electronic check,69.7,135.2,0,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,2,High
163,2015-09-01,,Two year,Yes,Bank transfer (automatic),73.9,3958.25,0,DSL,No,Yes,Yes,Yes,No,Yes,Male,0,No,No,Yes,54,High
164,2019-03-01,,One year,No,Mailed check,20.6,233.9,0,No,No,No,No,No,No,No,Female,0,Yes,Yes,No,11,Low
165,2014-05-01,,Two year,No,Mailed check,19.9,1363.45,0,No,No,No,No,No,No,No,Male,0,Yes,No,No,70,Low
166,2019-07-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,1,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,4,High
167,2014-02-01,,Two year,Yes,Bank transfer (automatic),89.05,6254.45,0,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,73,High
168,2015-03-01,2020-01-01,Month-to-month,Yes,Electronic check,45.3,2651.2,1,DSL,No,Yes,Yes,No,No,Yes,Male,1,Yes,No,Unknown,59,Medium
169,2018-10-01,,Month-to-month,No,Electronic check,20.4,321.4,0,No,No,No,No,No,No,No,Female,0,Yes,Yes,No,16,Low
170,2016-07-01,,One year,Yes,Bank transfer (automatic),84.25,3539.25,0,Fiber optic,Yes,No,Yes,Yes,No,No,Male,0,Yes,No,No,44,High
171,2019-11-01,2020-01-01,Month-to-month,Yes,Electronic check,104.4,242.8,1,Fiber optic,No,No,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,2,Very High
172,2018-12-01,,Two year,No,Mailed check,81.95,1181.75,0,DSL,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,No,14,High
173,2015-05-01,2019-10-01,One year,Yes,Bank transfer (automatic),94.85,5000.2,1,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,No,No,54,Very High
